Date,Open,High,Low,Close,Adj Close,Volume,,
10/31/2014,201.779999,201.820007,200.770004,201.660004,187.105637,146903000,,0.011435461
11/3/2014,201.919998,202.449997,201.309998,201.770004,187.207672,93600000,,0.000545334
11/4/2014,201.229996,201.600006,200.059998,201.070007,186.558212,93343000,,-0.003469195
11/5/2014,202.539993,202.589996,201.449997,202.339996,187.736542,91709000,,0.006316152
11/6/2014,202.389999,203.259995,201.639999,203.149994,188.488083,107089000,,0.004003168
11/7/2014,203.169998,203.600006,202.610001,203.339996,188.664352,89540000,,0.000935173
11/10/2014,203.380005,204.039993,203.130005,203.979996,189.258163,66319000,,0.003147447
11/11/2014,204.059998,204.309998,203.649994,204.179993,189.443741,54499400,,0.000980555
11/12/2014,203.350006,204.240005,203.309998,203.960007,189.239655,90120300,,-0.001077291
11/13/2014,204.160004,204.830002,203.210007,204.190002,189.453018,85357900,,0.001127475
11/14/2014,204.100006,204.490005,203.720001,204.240005,189.499451,80417500,,0.00024509
11/17/2014,203.850006,204.580002,203.649994,204.369995,189.620026,80441000,,0.000636282
11/18/2014,204.440002,205.919998,204.440002,205.550003,190.714874,76068100,,0.005773905
11/19/2014,205.309998,205.550003,204.300003,205.220001,190.408676,82373000,,-0.001605528
11/20/2014,204.259995,205.710007,204.179993,205.580002,190.742691,72840300,,0.001754201
11/21/2014,207.639999,207.839996,205.979996,206.679993,191.763321,142327300,,0.005350821
11/24/2014,207.169998,207.389999,206.910004,207.259995,192.301437,65880800,,0.002806147
11/25/2014,207.539993,207.789993,206.800003,207.110001,192.162277,79108300,,-0.000723656
11/26/2014,207.289993,207.759995,207.029999,207.639999,192.654037,62167800,,0.002559087
11/28/2014,207.490005,207.869995,206.910004,207.199997,192.245773,57890100,,-0.002119156
12/1/2014,206.399994,206.539993,205.380005,205.759995,190.909714,103968400,,-0.006949744
12/2/2014,205.809998,207.339996,205.779999,207.089996,192.143723,74507200,,0.006463836
12/3/2014,207.300003,208.149994,207.100006,207.889999,192.885986,68952000,,0.003863061
12/4/2014,207.539993,208.270004,206.699997,207.660004,192.672592,91316600,,-0.001106322
12/5/2014,207.869995,208.470001,207.550003,208,192.988037,91025500,,0.001637207
12/8/2014,207.520004,208.119995,205.929993,206.610001,191.69838,108588200,,-0.006682575
12/9/2014,204.369995,206.600006,203.910004,206.470001,191.568481,125180100,,-0.000677622
12/10/2014,205.910004,205.979996,202.929993,203.160004,188.497375,159856400,,-0.016031374
12/11/2014,203.880005,206.190002,203.710007,204.190002,189.453018,159012800,,0.005069795
12/12/2014,202.639999,203.820007,200.850006,200.889999,186.391174,202330200,,-0.016161495
12/15/2014,201.979996,202.529999,198.779999,199.509995,185.110779,189965800,,-0.006869397
